ID	Name	SMIRKS	FunctionalGroup	TransformType
1	Formation of acetals and ketals from aldehydes/ketones	[C:7][O:6][C:1][O:3][C:4]>>[C:7][O:6][H].[C:4][O:3][H].[O]=[C:1]	ACETALS and KETALS	FGE
2	Synthesis of acid chlorides From Carboxylic Acids	[C:3][C:1](=[O:2])[Cl]>>[C:3][C:1](=[O:2])[O][H]	ACID CHLORIDES	FGE
3	Synthesis of alcohols from acid chlorides 	[#6:7][C:1](=[O:2])[Cl]>>[#6:7][C:1]([H])([H])[O:2][H]	ALCOHOLS	FGE
4	Synthesis of alcohols from anhydrides	[#6:7][C:1](=[O:2])[O][C](=[O])[C]>>[#6:7][C:1]([H])([H])[O:2][H]	ALCOHOLS	FGE
5	Reduction of esters to alcohols	[#6:7][C:1](=[O:2])[O:3][#6:4]>>[#6:7][C:1]([H])([H])[O:2][H].[O:3]([H])[#6:4]	ALCOHOLS	FGE
6	Hydration of alkenes	[H][C:2][C:1][O][H]>>[C:1]=[C:2]	ALCOHOLS	FGE
7	Ether formation from alcohols	[C:1][O:2][C:3]>>[C:1][O:2][H].[H][O][C:3]	ETHERS	FGE
8	Reduction of aldehydes/ketones	"[H,C:4][C:1]([H])([#6:5])[O:2][H]>>[H,C:4][C:1](=[O:2])[#6:5]"	ALCOHOLS	FGE
9	Reduction of conjugated aldehydes/ketones	"[H,C:4][C:1]([H])([O:2][H])[C:5][C:3]>>[H,C:4][C:1](=[O:2])[C:5][C:3]"	ALCOHOLS	FGE
10	Halohydrin formation from Alkenes	[C:1]([O][H])[C:2][Cl]>>[C:1]=[C:2]	ALCOHOLS-FUNCTIONALIZED	FGE
11	Aldehydes From Acetals	[C:7][O:6][C:1][O:3][C:4]>>[C:7][O:6][H].[C:4][O:3][H].[O]=[C:1]	ALDEHYDES or KETONES	FGE
12	Oxidation of secondary alcohols to ketones	[C:3][C:1]([C:4])=[O:2]>>[C:3][C:1]([H])([C:4])[O:2][H]	ALDEHYDES or KETONES	FGE
13	Ozonolysis of alkenes	[C:1]=[C:2]>>[C:1]=[O].[C:2]=[O]	ALDEHYDES or KETONES	FGE
14	Hydration of terminal alkynes	[C:1]([H])([H])[C:2]([H])=[O]>>[C:1]#[C:2]([H])	ALDEHYDES	FGE
15	Oxidation of vicinal diols to aldehydes or ketones	"[O:3]([H])[C:1]([H,C:4])[C:2]([H,C:6])[O:5][H]>>[O:3]=[C:1]([H,C:4]).[C:2]([H,C:6])=[O:5]"	ALDEHYDES or KETONES	FGE
16	Reduction of nitriles to aldehydes	[C:1][C:2](=[O])[H]>>[C:1][C:2]#[N]	ALDEHYDES or KETONES	FGE
17	Reduction of Alkenes to Alkanes	[C:1]([H])[C:2]([H])>>[C:1]=[C:2]	ALKANES	FGE
18	Reduction of cyclic alkenes	[C:1]([H])1[C:2]([H])[C:3]([H])[C:4]([H])[C:5]([H])[C:6]([H])1>>[C:1]1[C:2]=[C:3][C:4]=[C:5][C:6]=1	ALKANES	FGE
19	Reduction of alkyl halides	[C:1]([H])[C:2]>>[Cl][C:1][C:2]	ALKANES	FGE
20	Reduction of Ketones or Aldehydes	[C:3][C:1]([H])([H])[C:2]>>[C:3][C:1](=[O])[C:2]	ALKANES	FGE
21	Reduction of Alkynes to Alkenes	[C:1]([H])=[C:2]([H])>>[C:1]#[C:2]	ALKENES	FGE
22	Beta HX elimination	[C:3][C:2]=[C:1]>>[C:3][C:1][C:2]([H])[Cl]	ALKENES	FGE
23	Alkene formation from Sulfonate Esters (elimination)	[C:1]=[C:2]>>[C:1]([H])[C:2][O][S](=[O])(=[O])([C]([H])([H])([H]))	ALKENES	FGE
24	Alkene formation from Ammonium Salts (elimination)	[C:3][C:1]([C:2]([H]))[N]([C])([C])>>[C:3][C:1]=[C:2]	ALKENES	FGE
25	Alkyne formation from Alkenyl Halides (elimination)	[C:1]#[C:2]>>[Br][C:2]=[C:1][H]	ALKYNES	FGE
26	Synthesis of amides from carboxylic acids	[N][C:1](=[O:2])[C:7]>>[C:7][C:1](=[O:2])[O][H]	AMIDES	FGE
27	Synthesis of amides from acyl chloride	[#6:4][N:5][C:1]=[O:2]>>[#6:4][N:5][H].[O:2]=[C:1][Cl]	AMIDES	FGE
28	Synthesis of amides from esters	[N:3][C:1](=[O:2])[C:7]>>[C:7][C:1](=[O:2])[O][C]([H])([H])[C]([H])([H])([H]).[N:3][H]	AMIDES	FGE
29	Synthesis of amides from anhydrides	[N:3][C:1](=[O:2])[C:7]>>[C:7][C:1](=[O:2])[O][C](=[O])[C]([H])([H])[C]([H])([H])([H]).[N:3][H]	AMIDES	FGE
30	Catalytic hydration of nitriles to amides	[C:1][C:2](=[O])[O][H]>>[C:1][C:2]#[N]	AMIDES	FGE
31	Reduction of alkyl azides to amines	[C:2][N:1]([H])([H])>>[N-]=[N+]=[N:1][C:2]	AMINES	FGE
32	Amines From Imides	[C:2][N:1]([H])([H])>>[C:2][N:1]([C](=O)[C]([H])([H])[C]([H])([H])([H]))([C](=O)[C]([H])([H])[C]([H])([H])([H]))	AMINES	FGE
33	Amines From Halides	[C:2][NX3:1]>>[NX3:1][H].[C:2][Cl]	AMINES	FGE
34	Reduction of nitriles to amines	[C:1][C:2]([H])([H])[N:3]([H])[H]>>[N:3]#[C:2][C:1]	AMINES	FGE
35	Reduction of nitro compounds to amines or anilines	[#6:1][N:2]([H])([H])>>[#6:1][NX3+:2](=[O])[O-]	AMINES	FGE
36	Synthesis of anhydrides	[O:6]=[C:5][O:3][C:1]=[O:2]>>[O:2]=[C:1][O:3][H].[O:6]=[C:5][Br]	ANHYDRIDES	FGE
37	Carboxylic acids From Acid chlorides	[C:3][C:1](=[O:2])[O][H]>>[C:3][C:1](=[O:2])[Cl]	CARBOXYLIC ACIDS	FGE
38	Carboxylic acids From Anhydrides	[C:3][C:1](=[O:2])[O][H]>>[C:3][C:1](=[O:2])[O][C](=[O])[C]([H])([H])[C]([H])([H])([H])	CARBOXYLIC ACIDS	FGE
39	Carboxylic acids From Esters	[C:3][C:1](=[O:2])[O][H]>>[C:3][C:1](=[O:2])[O][C]([H])([H])[C]([H])([H])([H])	CARBOXYLIC ACIDS	FGE
40	Carboxylic acids From Amides	[C:3][C:1](=[O:2])[O][H]>>[C:3][C:1](=[O:2])[N]([H])([H])	CARBOXYLIC ACIDS	FGE
41	Oxidation of primary alcohols to carboxylic acids	[O:2]=[C:1][O][H]>>[C:1]([H])([H])[O:2][H]	CARBOXYLIC ACIDS	FGE
42	Decarboxylation	[C:5]([H])[C:1](=[O:2])[O:3][H]>>[H][O:3][C:1](=[O:2])[C:5][C](=[O])[O][H]	CARBOXYLIC ACIDS	FGE
